# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-2979  [002] .... 250308.130417: tracing_mark_write: start dd
         mmcqd/0-339   [002] ...1 250308.135944: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [002] ...1 250308.135945: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [002] ...1 250308.135945: mmc_start_areq <-mmc_blk_issue_rw_rq
          <idle>-0     [002] d.h2 250308.137654: bcm2835_sdhost_irq: read:SDHSTS:00000200
          <idle>-0     [002] d.h2 250308.137656: bcm2835_sdhost_irq: write:SDHSTS:00000701
          <idle>-0     [002] d.h2 250308.137659: bcm2835_sdhost_finish_data: write:SDHCFG:0000040e
          <idle>-0     [002] d.h2 250308.137661: bcm2835_sdhost_transfer_complete: read:SDEDM:00010801
          <idle>-0     [002] d.h2 250308.137664: bcm2835_sdhost_irq: read:SDHSTS:00000000
          <idle>-0     [002] ..s2 250308.137668: mmc_request_done <-bcm2835_sdhost_tasklet_finish
          <idle>-0     [002] ..s1 250308.137673: mmc_request_done: mmc0: end struct mmc_request[ffffffc03715d940]: cmd_opcode=24 cmd_err=0 cmd_resp=0x900 0x0 0x0 0x0 cmd_retries=0 stop_opcode=0 stop_err=0 stop_resp=0x0 0x0 0x0 0x0 stop_retries=0 sbc_opcode=0 sbc_err=0 sbc_resp=0x0 0x0 0x0 0x0 sbc_retries=0 bytes_xfered=512 data_err=0 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
          <idle>-0     [002] ..s2 250308.137675: mmc_wait_data_done <-mmc_request_done
         mmcqd/0-339   [002] ...1 250308.137688: mmc_blk_err_check <-mmc_start_areq
         mmcqd/0-339   [002] ...1 250308.137692: mmc_wait_for_cmd <-__mmc_send_status
         mmcqd/0-339   [002] ...1 250308.137694: mmc_wait_for_req <-mmc_wait_for_cmd
         mmcqd/0-339   [002] ...1 250308.137696: mmc_start_request <-mmc_wait_for_req
         mmcqd/0-339   [002] ...1 250308.137696: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [002] ...1 250308.137698: mmc_retune <-__mmc_start_request
         mmcqd/0-339   [002] .... 250308.137700: mmc_request_start: mmc0: start struct mmc_request[ffffff80094fba60]: cmd_opcode=13 cmd_arg=0x59b40000 cmd_flags=0x195 cmd_retries=5 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=0 block_size=0 blk_addr=0 data_flags=0x0 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=2 retune_period=0
         mmcqd/0-339   [002] d..1 250308.137702: bcm2835_sdhost_request: read:SDEDM:00010801
         mmcqd/0-339   [002] d..1 250308.137704: bcm2835_sdhost_send_command: read:SDCMD:00000098
         mmcqd/0-339   [002] d..1 250308.137706: bcm2835_sdhost_send_command: read:SDHSTS:00000000
         mmcqd/0-339   [002] d..1 250308.137707: bcm2835_sdhost_send_command: write:SDARG:59b40000
         mmcqd/0-339   [002] d..1 250308.137709: bcm2835_sdhost_send_command: write:SDCMD:0000800d
         mmcqd/0-339   [002] d..1 250308.137710: bcm2835_sdhost_finish_command: read:SDCMD:0000800d
         mmcqd/0-339   [002] d..1 250308.137711: bcm2835_sdhost_finish_command: read:SDCMD:0000800d
         mmcqd/0-339   [002] d..1 250308.137713: bcm2835_sdhost_finish_command: read:SDCMD:0000000d
         mmcqd/0-339   [002] d..1 250308.137714: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
         mmcqd/0-339   [002] ...1 250308.137721: mmc_wait_for_req_done <-mmc_wait_for_req
     ksoftirqd/2-20    [002] ..s1 250308.137732: mmc_request_done <-bcm2835_sdhost_tasklet_finish
     ksoftirqd/2-20    [002] ..s. 250308.137733: mmc_request_done: mmc0: end struct mmc_request[ffffff80094fba60]: cmd_opcode=13 cmd_err=0 cmd_resp=0x900 0x0 0x0 0x0 cmd_retries=5 stop_opcode=0 stop_err=0 stop_resp=0x0 0x0 0x0 0x0 stop_retries=0 sbc_opcode=0 sbc_err=0 sbc_resp=0x0 0x0 0x0 0x0 sbc_retries=0 bytes_xfered=0 data_err=0 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=2 retune_period=0
     ksoftirqd/2-20    [002] ..s1 250308.137735: mmc_wait_done <-mmc_request_done
         mmcqd/0-339   [003] ...1 250308.137747: mmc_retune_release <-mmc_wait_for_req_done
         mmcqd/0-339   [003] ...1 250308.137749: mmc_retune_release <-mmc_start_areq
         mmcqd/0-339   [003] d..2 250308.137771: mmc_exit_request <-free_request_size
         mmcqd/0-339   [003] ...1 250308.137777: mmc_put_card <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 250308.137778: mmc_release_host <-mmc_put_card
              dd-2980  [000] ...1 250308.137810: mmc_blk_release <-__blkdev_put
              dd-2980  [000] ...1 250308.137814: mmc_blk_put <-mmc_blk_release
             tee-2982  [002] .... 250308.144268: tracing_mark_write: end dd
